NAME,SENID,TIME,V,AVGV,MAXV,MAXT,MINV,MINT,S,AVGS,MAXS,MINS,SPAN
入库流量,1108174,2020-01-01 00:00:00,577.239,577.239,577.239,2020/1/1,577.239,2020/1/1,2,2,2,2,1
入库流量,1108174,2020-01-01 01:00:00,1245.07,1245.07,1245.07,2020/1/1 1:00:00,1245.07,2020/1/1 1:00:00,2,2,2,2,1
入库流量,1108174,2020-01-01 02:00:00,801.296,801.296,801.296,2020/1/1 2:00:00,801.296,2020/1/1 2:00:00,2,2,2,2,1
入库流量,1108174,2020-01-01 03:00:00,245.722,245.722,245.722,2020/1/1 3:00:00,245.722,2020/1/1 3:00:00,2,2,2,2,1
入库流量,1108174,2020-01-01 04:00:00,153.133,153.133,153.133,2020/1/1 4:00:00,153.133,2020/1/1 4:00:00,2,2,2,2,1
入库流量,1108174,2020-01-01 05:00:00,153.133,153.133,153.133,2020/1/1 5:00:00,153.133,2020/1/1 5:00:00,2,2,2,2,1
入库流量,1108174,2020-01-01 06:00:00,153.133,153.133,153.133,2020/1/1 6:00:00,153.133,2020/1/1 6:00:00,2,2,2,2,1
入库流量,1108174,2020-01-01 07:00:00,578.401,578.401,578.401,2020/1/1 7:00:00,578.401,2020/1/1 7:00:00,2,2,2,2,1
入库流量,1108174,2020-01-01 08:00:00,383.635,383.635,383.635,2020/1/1 8:00:00,383.635,2020/1/1 8:00:00,2,2,2,2,1
入库流量,1108174,2020-01-01 09:00:00,189.573,189.573,189.573,2020/1/1 9:00:00,189.573,2020/1/1 9:00:00,2,2,2,2,1
入库流量,1108174,2020-01-01 10:00:00,162.342,162.342,162.342,2020/1/1 10:00:00,162.342,2020/1/1 10:00:00,2,2,2,2,1
入库流量,1108174,2020-01-01 11:00:00,384.166,384.166,384.166,2020/1/1 11:00:00,384.166,2020/1/1 11:00:00,2,2,2,2,1
入库流量,1108174,2020-01-01 12:00:00,384.407,384.407,384.407,2020/1/1 12:00:00,384.407,2020/1/1 12:00:00,2,2,2,2,1
入库流量,1108174,2020-01-01 13:00:00,384.362,384.362,384.362,2020/1/1 13:00:00,384.362,2020/1/1 13:00:00,2,2,2,2,1
入库流量,1108174,2020-01-01 14:00:00,162.01,162.01,162.01,2020/1/1 14:00:00,162.01,2020/1/1 14:00:00,2,2,2,2,1
入库流量,1108174,2020-01-01 15:00:00,606.502,606.502,606.502,2020/1/1 15:00:00,606.502,2020/1/1 15:00:00,2,2,2,2,1
入库流量,1108174,2020-01-01 16:00:00,606.646,606.646,606.646,2020/1/1 16:00:00,606.646,2020/1/1 16:00:00,2,2,2,2,1
入库流量,1108174,2020-01-01 17:00:00,384.697,384.697,384.697,2020/1/1 17:00:00,384.697,2020/1/1 17:00:00,2,2,2,2,1
入库流量,1108174,2020-01-01 18:00:00,384.164,384.164,384.164,2020/1/1 18:00:00,384.164,2020/1/1 18:00:00,2,2,2,2,1
入库流量,1108174,2020-01-01 19:00:00,1439.701,1439.701,1439.701,2020/1/1 19:00:00,1439.701,2020/1/1 19:00:00,2,2,2,2,1
入库流量,1108174,2020-01-01 20:00:00,1856.057,1856.057,1856.057,2020/1/1 20:00:00,1856.057,2020/1/1 20:00:00,2,2,2,2,1
入库流量,1108174,2020-01-01 21:00:00,1439.041,1439.041,1439.041,2020/1/1 21:00:00,1439.041,2020/1/1 21:00:00,2,2,2,2,1
入库流量,1108174,2020-01-01 22:00:00,1022.258,1022.258,1022.258,2020/1/1 22:00:00,1022.258,2020/1/1 22:00:00,2,2,2,2,1
入库流量,1108174,2020-01-01 23:00:00,1855.316,1855.316,1855.316,2020/1/1 23:00:00,1855.316,2020/1/1 23:00:00,2,2,2,2,1
入库流量,1108174,2020-01-02 00:00:00,1437.085,1437.085,1437.085,2020/1/2,1437.085,2020/1/2,2,2,2,2,1
入库流量,1108174,2020-01-02 01:00:00,1438.11,1438.11,1438.11,2020/1/2 1:00:00,1438.11,2020/1/2 1:00:00,2,2,2,2,1
入库流量,1108174,2020-01-02 02:00:00,1021.178,1021.178,1021.178,2020/1/2 2:00:00,1021.178,2020/1/2 2:00:00,2,2,2,2,1
入库流量,1108174,2020-01-02 03:00:00,382.128,382.128,382.128,2020/1/2 3:00:00,382.128,2020/1/2 3:00:00,2,2,2,2,1
入库流量,1108174,2020-01-02 04:00:00,159.728,159.728,159.728,2020/1/2 4:00:00,159.728,2020/1/2 4:00:00,2,2,2,2,1
入库流量,1108174,2020-01-02 05:00:00,160.261,160.261,160.261,2020/1/2 5:00:00,160.261,2020/1/2 5:00:00,2,2,2,2,1
入库流量,1108174,2020-01-02 06:00:00,187.591,187.591,187.591,2020/1/2 6:00:00,187.591,2020/1/2 6:00:00,2,2,2,2,1
入库流量,1108174,2020-01-02 07:00:00,95.049,95.049,95.049,2020/1/2 7:00:00,95.049,2020/1/2 7:00:00,2,2,2,2,1
入库流量,1108174,2020-01-02 08:00:00,95.049,95.049,95.049,2020/1/2 8:00:00,95.049,2020/1/2 8:00:00,2,2,2,2,1
入库流量,1108174,2020-01-02 09:00:00,95.049,95.049,95.049,2020/1/2 9:00:00,95.049,2020/1/2 9:00:00,2,2,2,2,1
入库流量,1108174,2020-01-02 10:00:00,604.457,604.457,604.457,2020/1/2 10:00:00,604.457,2020/1/2 10:00:00,2,2,2,2,1
入库流量,1108174,2020-01-02 11:00:00,159.335,159.335,159.335,2020/1/2 11:00:00,159.335,2020/1/2 11:00:00,2,2,2,2,1
入库流量,1108174,2020-01-02 12:00:00,382.621,382.621,382.621,2020/1/2 12:00:00,382.621,2020/1/2 12:00:00,2,2,2,2,1
入库流量,1108174,2020-01-02 13:00:00,187.97,187.97,187.97,2020/1/2 13:00:00,187.97,2020/1/2 13:00:00,2,2,2,2,1
入库流量,1108174,2020-01-02 14:00:00,577.561,577.561,577.561,2020/1/2 14:00:00,577.561,2020/1/2 14:00:00,2,2,2,2,1
入库流量,1108174,2020-01-02 15:00:00,382.947,382.947,382.947,2020/1/2 15:00:00,382.947,2020/1/2 15:00:00,2,2,2,2,1
入库流量,1108174,2020-01-02 16:00:00,187.781,187.781,187.781,2020/1/2 16:00:00,187.781,2020/1/2 16:00:00,2,2,2,2,1
入库流量,1108174,2020-01-02 17:00:00,382.468,382.468,382.468,2020/1/2 17:00:00,382.468,2020/1/2 17:00:00,2,2,2,2,1
入库流量,1108174,2020-01-02 18:00:00,382.655,382.655,382.655,2020/1/2 18:00:00,382.655,2020/1/2 18:00:00,2,2,2,2,1
入库流量,1108174,2020-01-02 19:00:00,798.944,798.944,798.944,2020/1/2 19:00:00,798.944,2020/1/2 19:00:00,2,2,2,2,1
入库流量,1108174,2020-01-02 20:00:00,1215.608,1215.608,1215.608,2020/1/2 20:00:00,1215.608,2020/1/2 20:00:00,2,2,2,2,1
入库流量,1108174,2020-01-02 21:00:00,826.581,826.581,826.581,2020/1/2 21:00:00,826.581,2020/1/2 21:00:00,2,2,2,2,1
入库流量,1108174,2020-01-02 22:00:00,993.14,993.14,993.14,2020/1/2 22:00:00,993.14,2020/1/2 22:00:00,2,2,2,2,1
入库流量,1108174,2020-01-02 23:00:00,1020.732,1020.732,1020.732,2020/1/2 23:00:00,1020.732,2020/1/2 23:00:00,2,2,2,2,1
入库流量,1108174,2020-01-03 00:00:00,797.404,797.404,797.404,2020/1/3,797.404,2020/1/3,2,2,2,2,1
入库流量,1108174,2020-01-03 01:00:00,1020.265,1020.265,1020.265,2020/1/3 1:00:00,1020.265,2020/1/3 1:00:00,2,2,2,2,1
入库流量,1108174,2020-01-03 02:00:00,798.344,798.344,798.344,2020/1/3 2:00:00,798.344,2020/1/3 2:00:00,2,2,2,2,1
入库流量,1108174,2020-01-03 03:00:00,381.514,381.514,381.514,2020/1/3 3:00:00,381.514,2020/1/3 3:00:00,2,2,2,2,1
入库流量,1108174,2020-01-03 04:00:00,186.853,186.853,186.853,2020/1/3 4:00:00,186.853,2020/1/3 4:00:00,2,2,2,2,1
入库流量,1108174,2020-01-03 05:00:00,158.831,158.831,158.831,2020/1/3 5:00:00,158.831,2020/1/3 5:00:00,2,2,2,2,1
入库流量,1108174,2020-01-03 06:00:00,380.872,380.872,380.872,2020/1/3 6:00:00,380.872,2020/1/3 6:00:00,2,2,2,2,1
入库流量,1108174,2020-01-03 07:00:00,186.644,186.644,186.644,2020/1/3 7:00:00,186.644,2020/1/3 7:00:00,2,2,2,2,1
入库流量,1108174,2020-01-03 08:00:00,158.769,158.769,158.769,2020/1/3 8:00:00,158.769,2020/1/3 8:00:00,2,2,2,2,1
入库流量,1108174,2020-01-03 09:00:00,158.984,158.984,158.984,2020/1/3 9:00:00,158.984,2020/1/3 9:00:00,2,2,2,2,1
入库流量,1108174,2020-01-03 10:00:00,104.242,104.242,104.242,2020/1/3 10:00:00,104.242,2020/1/3 10:00:00,2,2,2,2,1
入库流量,1108174,2020-01-03 11:00:00,104.242,104.242,104.242,2020/1/3 11:00:00,104.242,2020/1/3 11:00:00,2,2,2,2,1
入库流量,1108174,2020-01-03 12:00:00,104.242,104.242,104.242,2020/1/3 12:00:00,104.242,2020/1/3 12:00:00,2,2,2,2,1
入库流量,1108174,2020-01-03 13:00:00,160.679,160.679,160.679,2020/1/3 13:00:00,160.679,2020/1/3 13:00:00,2,2,2,2,1
入库流量,1108174,2020-01-03 14:00:00,604.357,604.357,604.357,2020/1/3 14:00:00,604.357,2020/1/3 14:00:00,2,2,2,2,1
入库流量,1108174,2020-01-03 15:00:00,159.866,159.866,159.866,2020/1/3 15:00:00,159.866,2020/1/3 15:00:00,2,2,2,2,1
入库流量,1108174,2020-01-03 16:00:00,187.523,187.523,187.523,2020/1/3 16:00:00,187.523,2020/1/3 16:00:00,2,2,2,2,1
入库流量,1108174,2020-01-03 17:00:00,159.156,159.156,159.156,2020/1/3 17:00:00,159.156,2020/1/3 17:00:00,2,2,2,2,1
入库流量,1108174,2020-01-03 18:00:00,604.585,604.585,604.585,2020/1/3 18:00:00,604.585,2020/1/3 18:00:00,2,2,2,2,1
入库流量,1108174,2020-01-03 19:00:00,1215.567,1215.567,1215.567,2020/1/3 19:00:00,1215.567,2020/1/3 19:00:00,2,2,2,2,1
入库流量,1108174,2020-01-03 20:00:00,798.468,798.468,798.468,2020/1/3 20:00:00,798.468,2020/1/3 20:00:00,2,2,2,2,1
入库流量,1108174,2020-01-03 21:00:00,1242.855,1242.855,1242.855,2020/1/3 21:00:00,1242.855,2020/1/3 21:00:00,2,2,2,2,1
入库流量,1108174,2020-01-03 22:00:00,1214.625,1214.625,1214.625,2020/1/3 22:00:00,1214.625,2020/1/3 22:00:00,2,2,2,2,1
入库流量,1108174,2020-01-03 23:00:00,1242.219,1242.219,1242.219,2020/1/3 23:00:00,1242.219,2020/1/3 23:00:00,2,2,2,2,1
入库流量,1108174,2020-01-04 00:00:00,824.487,824.487,824.487,2020/1/4,824.487,2020/1/4,2,2,2,2,1
入库流量,1108174,2020-01-04 01:00:00,1297.319,1297.319,1297.319,2020/1/4 1:00:00,1297.319,2020/1/4 1:00:00,2,2,2,2,1
入库流量,1108174,2020-01-04 02:00:00,825.127,825.127,825.127,2020/1/4 2:00:00,825.127,2020/1/4 2:00:00,2,2,2,2,1
入库流量,1108174,2020-01-04 03:00:00,602.751,602.751,602.751,2020/1/4 3:00:00,602.751,2020/1/4 3:00:00,2,2,2,2,1
入库流量,1108174,2020-01-04 04:00:00,158.376,158.376,158.376,2020/1/4 4:00:00,158.376,2020/1/4 4:00:00,2,2,2,2,1
入库流量,1108174,2020-01-04 05:00:00,158.75,158.75,158.75,2020/1/4 5:00:00,158.75,2020/1/4 5:00:00,2,2,2,2,1
入库流量,1108174,2020-01-04 06:00:00,232.156,232.156,232.156,2020/1/4 6:00:00,232.156,2020/1/4 6:00:00,2,2,2,2,1
入库流量,1108174,2020-01-04 07:00:00,232.156,232.156,232.156,2020/1/4 7:00:00,232.156,2020/1/4 7:00:00,2,2,2,2,1
入库流量,1108174,2020-01-04 08:00:00,232.156,232.156,232.156,2020/1/4 8:00:00,232.156,2020/1/4 8:00:00,2,2,2,2,1
入库流量,1108174,2020-01-04 09:00:00,602.836,602.836,602.836,2020/1/4 9:00:00,602.836,2020/1/4 9:00:00,2,2,2,2,1
入库流量,1108174,2020-01-04 10:00:00,158.345,158.345,158.345,2020/1/4 10:00:00,158.345,2020/1/4 10:00:00,2,2,2,2,1
入库流量,1108174,2020-01-04 11:00:00,223.571,223.571,223.571,2020/1/4 11:00:00,223.571,2020/1/4 11:00:00,2,2,2,2,1
入库流量,1108174,2020-01-04 12:00:00,223.571,223.571,223.571,2020/1/4 12:00:00,223.571,2020/1/4 12:00:00,2,2,2,2,1
入库流量,1108174,2020-01-04 13:00:00,223.571,223.571,223.571,2020/1/4 13:00:00,223.571,2020/1/4 13:00:00,2,2,2,2,1
入库流量,1108174,2020-01-04 14:00:00,631.002,631.002,631.002,2020/1/4 14:00:00,631.002,2020/1/4 14:00:00,2,2,2,2,1
入库流量,1108174,2020-01-04 15:00:00,381.118,381.118,381.118,2020/1/4 15:00:00,381.118,2020/1/4 15:00:00,2,2,2,2,1
入库流量,1108174,2020-01-04 16:00:00,380.813,380.813,380.813,2020/1/4 16:00:00,380.813,2020/1/4 16:00:00,2,2,2,2,1
入库流量,1108174,2020-01-04 17:00:00,602.88,602.88,602.88,2020/1/4 17:00:00,602.88,2020/1/4 17:00:00,2,2,2,2,1
入库流量,1108174,2020-01-04 18:00:00,655.753,655.753,655.753,2020/1/4 18:00:00,655.753,2020/1/4 18:00:00,2,2,2,2,1
入库流量,1108174,2020-01-04 19:00:00,1047.459,1047.459,1047.459,2020/1/4 19:00:00,1047.459,2020/1/4 19:00:00,2,2,2,2,1
