SENID,NAME,longitude,latitude
210254,下洋坂雨量,117.734252,24.959335
210454,街面坝上(左岸)雨量,118.037088,25.812396
210554,福记雨量,,
210654,西城镇雨量,118.143803,26.163938
210754,梅仙镇雨量,118.248163,26.236811
210854,民主村雨量,118.741773,25.729215
210954,柯坑村雨量,118.551002,24.608623
211054,东上村雨量,117.973587,26.158945
211154,台溪乡雨量,118.250299,26.101026
211254,联合镇雨量,118.226852,26.373246
211354,新阳镇雨量,117.944879,26.050916
211454,双鲤村雨量,118.040521,26.118197
211554,肖坂村雨量,118.203372,25.912927
211654,芦坪雨量,119.520638,26.659707
211754,后洋雨量,117.730005,25.147126
211854,绿柳村雨量,117.944167,26.233467
211954,京口村雨量,118.075774,26.047754
212054,厚德村雨量,118.195199,25.581172
212154,厚德村雨量,117.699657,25.609204
212254,小华村雨量,117.706147,25.766511
212354,梓溪村雨量,118.258732,25.737501
212454,大儒村雨量,118.01296,25.602156
212554,汤泉村雨量,117.756669,25.896732
212654,龙口村雨量,117.907772,25.878727
212754,梅山镇雨量,118.454767,25.121938
212854,广平镇雨量,117.822546,26.090874
212954,西燕村雨量,117.901233,25.801456
213054,横坑村雨量,117.111651,27.123778
213154,下路岭雨量,118.115378,25.670894
213254,槐南镇雨量,117.728249,25.987843
213354,大华镇雨量,117.71986,25.819582
213454,年坂山雨量,118.059996,25.925871
213554,文峰村雨量,118.318869,25.272237
213754,测试雨量,,
218193,街面面雨量,118.043611,25.937778
220034,永坑村雨量,118.059273,25.876182
220254,水东坝上雨量,118.198875,26.172913
228193,水东面雨量,118.195809,26.176539
230034,水东区间流域面雨量,118.213203,26.168153
230035,永坑村雨量,118.059273,25.876182
230254,下保村雨量,118.205286,26.310587
238193,雍口面雨量,118.751309,26.33004
248193,雍口实时面雨量,118.746309,26.332405
1100254,水口坝上雨量,118.875231,26.229407
1100454,水口坝上(左岸)雨量,118.872751,26.228677
1100554,水口坝上(卫星)雨量,118.875231,26.229407
1100754,莘口镇雨量,117.53526,26.165014
1100854,新桥头雨量,119.09989,25.449676
1100954,大横镇曲楼甲新农村雨量,118.251177,26.769641
1101054,石塔山雨量,118.649606,26.851964
1101154,车洋坂雨量,118.65634,26.428275
1101254,横洋雨量,118.925616,26.576569
1101354,外洋村雨量,119.393555,27.466707
1108193,水口面雨量,118.875231,26.229407
1110034,沙溪流域面雨量,117.873377,26.418007
1110035,富屯溪流域面雨量,118.029519,26.57995
1110036,建溪流域面雨量,118.300106,27.021435
1110037,库区流域面雨量,,
1110038,半山村雨量,118.051604,25.262453
1130654,大口窑雨量,118.544978,27.790609
1130754,山下乡雨量,118.302185,27.796727
1130854,樟树村雨量,116.597248,25.05648
1130954,里洋村雨量,119.031945,27.266998
1131054,均中村雨量,118.379429,27.456351
1131154,杉坜雨量,117.839719,27.757573
1131254,桐木村雨量,117.675318,27.750811
1131354,水南村雨量,117.842239,27.388931
1131454,桥南村雨量,118.670991,24.950551
1131554,漈村雨量,119.019598,26.904436
1131654,西表村雨量,118.566997,27.458186
1131754,金岭村雨量,117.864581,25.665043
1131854,西津村雨量,118.704008,27.338279
1131954,东游镇雨量,118.633015,27.166212
1132054,福源小区雨量,117.943978,26.773865
1132154,新源村雨量,117.899634,26.966151
1132254,下洋村雨量,119.414868,25.980564
1132354,后村雨量,118.267902,24.575768
1132454,白源雨量,117.170417,23.714165
1151354,白叶山雨量,118.221743,26.471811
1151454,下墩村雨量,117.277444,26.02561
1160754,岭坪雨量,120.203784,27.054752
1200254,沙坝下雨量,119.40066,25.787835
1210654,天心岛花园雨量,117.123649,25.730601
1210754,梅园小区雨量,117.357748,25.996905
1210854,胡坊镇雨量,117.231986,26.218313
1210954,雪峰新村雨量,117.189775,26.35773
1211054,夏阳乡雨量,117.457616,26.42708
1211254,夏茂镇雨量,117.664485,26.575351
1211354,官昌村雨量,117.795689,26.239202
1211454,景山新村雨量,117.795213,26.407706
1211554,洽湖村雨量,117.974059,26.545213
1220654,碗厂村雨量,118.661988,27.359264
1220754,梅溪村雨量,118.533289,25.126725
1220854,李坊村雨量,117.140134,27.388458
1220954,梅树湾新村雨量,117.328856,27.558438
1221054,小西门头社区雨量,117.472403,27.353863
1221154,茶窠雨量,117.308539,27.492624
1221254,埔上镇雨量,117.770523,26.932051
1221354,桥下村雨量,117.893859,27.081068
1221554,观华园雨量,117.46508,26.726779
1221654,万安镇雨量,117.429671,26.894125
1221754,九丘雨量,117.808281,25.920205
1320254,里坪厂雨量,118.753184,26.532244
1410254,安砂镇雨量,117.132196,26.035343
1410354,香园里小区雨量,117.135464,26.04217
1470254,端溪村雨量,117.935471,26.433358
1510254,池潭坝上雨量,117.142938,26.713655
1510454,山坊雨量,117.435503,27.813073
1610254,林后岗雨量,118.29027,26.876176
1200454,沙溪口坝上雨量,117.873377,26.418007
1410654,水茜雨量,116.742654,26.465294
1410754,湖村雨量,116.846347,26.35042
1410854,禾口雨量,117.807642,26.787382
1410954,宁化雨量,116.649769,26.265707
1411054,横锁雨量,116.713382,26.215813
1411154,黄家排雨量,116.793236,26.187907
1411254,蒿溪雨量,116.946522,26.269212
1411354,童坊雨量,116.556302,25.807089
1411454,馆前雨量,116.541931,25.937066
1411554,曹坊雨量,116.615722,26.063069
1411654,河排雨量,116.732145,25.981271
1411754,连城雨量,116.749528,25.713398
1411854,北团雨量,116.718392,25.801593
1411954,姚坊雨量,116.74712,25.693258
1412054,沙芜塘雨量,117.111756,26.040005
1412154,罗坊雨量,117.009655,25.916898
1412254,芹口雨量,117.07982,26.133627
